,ds,y,LR_pred,LR_pred_with_noise
383,9192,77.26,77.15604332,77.21089062
384,9216,77.09,77.15521692,77.11301908
385,9240,77.23,77.15439053,77.14538334
386,9264,77.17,77.15356413,77.15107354
387,9288,77.08,77.15273773,77.14515307
388,9312,77.27,77.15191133,77.15790697
389,9336,77.01,77.15108494,77.14340612
390,9360,76.94,77.15025854,77.15562356
391,9384,77.19,77.14943214,77.17368685
392,9408,77.18,77.14860574,77.1599048
393,9432,77.04,77.14777935,77.1372124
394,9456,77.21,77.14695295,77.16370762
395,9480,77.26,77.14612655,77.1209882
396,9504,77.4,77.14530015,77.12919394
397,9528,77.36,77.14447376,77.13085482
398,9552,77.1,77.14364736,77.15071229
399,9576,77.17,77.14282096,77.13821627
400,9600,77.3,77.14199457,77.1593563
401,9624,77.24,77.14116817,77.14028005
402,9648,77.22,77.14034177,77.1491466
403,9672,77.07,77.13951537,77.1330913
404,9696,77.21,77.13868898,77.13359619
405,9720,77.15,77.13786258,77.14038562
406,9744,77.3,77.13703618,77.11677232
407,9768,77.26,77.13620978,77.1445034
408,9792,77.25,77.13538339,77.17621001
409,9816,77.22,77.13455699,77.14822497
410,9840,77.1,77.13373059,77.11734211
411,9864,77.1,77.13290419,77.20044243
412,9888,77.1,77.1320778,77.12991056
413,9912,77.05,77.1312514,77.14960629
414,9936,77.18,77.130425,77.08049076
415,9960,77.23,77.12959861,77.1417368
416,9984,77.2,77.12877221,77.13292539
417,10008,77.19,77.12794581,77.10128657
418,10032,77.13,77.12711941,77.08756967
419,10056,76.98,77.12629302,77.12925807
420,10080,77.23,77.12546662,77.132867
421,10104,77.28,77.12464022,77.0793392
422,10128,77.28,77.12381382,77.11345858
423,10152,77.02,77.12298743,77.10526817
424,10176,77.38,77.12216103,77.13189143
425,10200,77.23,77.12133463,77.10784094
426,10224,77.14,77.12050823,77.12884312
427,10248,77.26,77.11968184,77.10982636
428,10272,77.25,77.11885544,77.10754467
429,10296,77.03,77.11802904,77.13734774
430,10320,77.18,77.11720265,77.12963742
431,10344,77.11,77.11637625,77.12088156
432,10368,77.3,77.11554985,77.10639533
433,10392,77.17,77.11472345,77.0913304
434,10416,77.27,77.11389706,77.11673471
435,10440,77.22,77.11307066,77.09881525
436,10464,77.33,77.11224426,77.14719277
437,10488,77.35,77.11141786,77.10727278
438,10512,77.32,77.11059147,77.13011452
439,10536,77.12,77.10976507,77.14886333
440,10560,77.17,77.10893867,77.14045529
441,10584,77.08,77.10811227,77.11920729
442,10608,77.32,77.10728588,77.10183395
443,10632,77.15,77.10645948,77.09591092
444,10656,77.2,77.10563308,77.12199651
445,10680,77.3,77.10480668,77.0882413
446,10704,77.26,77.10398029,77.12432062
447,10728,77.17,77.10315389,77.06363175
448,10752,77.2,77.10232749,77.13721231
449,10776,77.19,77.1015011,77.08319301
450,10800,77.11,77.1006747,77.11988017
451,10824,77.27,77.0998483,77.09606073
452,10848,77.06,77.0990219,77.08739564
453,10872,77.24,77.09819551,77.10227908
454,10896,77.18,77.09736911,77.09884341
455,10920,77.12,77.09654271,77.0923135
456,10944,77.46,77.09571631,77.11621048
457,10968,77.33,77.09488992,77.13355505
458,10992,76.88,77.09406352,77.10264074
459,11016,77.09,77.09323712,77.08974969
460,11040,76.96,77.09241072,77.07910254
461,11064,76.98,77.09158433,77.07469486
462,11088,76.98,77.09075793,77.07256399
463,11112,77.04,77.08993153,77.1067814
